repo_name,no_of_contributions
call-congress,227
call.mozilla.org,93
camdtest,1
canary-harvester,14
canary_anomaly_detection,4
captain,15
caravela,198
cardano,31
caseconductor,1
caseconductor-platform,39
caseconductor-ui,1722
caseconductor-ui-reqs,39
ceci,262
ceci-bower,26
cef,7
cerberus,154
certspotter-cloudformation,15
changelog,96
charts,28
chat.mozillafoundation.org,4322
chat.mozillafoundation.org-desktop,275
chatspaces,17
check,18
checklinks,12
cheesecake,26
cherrypicker,70
chief,69
chromecast,1
chromecast-server,2
chromeless,792
chronicle,216
chronicle-addon,19
chronicle-l10n,1
ci-docker-bases,310
cipherscan,411
classify-client,170
clearlinux,2
cleopatra,676
client-share-web,438
cloud9-skywriter-shared,53
cloudformation-cross-account-outputs,31
clouseau,607
clt_vs_bootstrap,1
clubs-events,45
coaching_training,10
code-coverage-addon,121
code-coverage-reports,78
code-hostages,2
codemoji,899
collusion-server,2
commbadge,617
common-voice-global-sprint,265
commonplace,479
commonware,43
community-data,1561
community-development,62
community-spaces,2
community-teaching-training,15
community-ux,3
community.openbadges.org,6
compatipede,64
compatipede-report-compare,1
concepts,189
configman,361
connect-cachify,84
connected-devices,9
connected-devices-experiments,26
contacts-sync-prototype,10
contain-facebook,970
content,99
content-2012.mozillafestival.org,167
contribute,6
contribute.json,156
cookie-restrictions-strict-list-study,26
cookiemonster,43
copyright,691
corsica,238
corsica-cli,11
corsica-screen,50
coss,856
coverage-crawler,315
coversheet,43
cpg,11
crash-clouseau,106
crash-report-tools,1067
crash-stop-addon,91
crashathon,10
crashstop,138
create-shield-study,5
crlite,320
crontabber,150
cropd,15
csp-logger,52
ctf-austin,3466
cubeb,1385
cubeb-coreaudio-rs,820
cubeb-pulse-rs,154
cubeb-rs,147
curriculum,816
curriculum-final,228
curriculum-localization,6
custom-elements,2
cvtools,7
darjeeling,195
data-docs,632
data-review,23
data-site-toplists,2
datacenter,31
datadog_hp_health,3
datasetjs,9
datazilla,749
datazilla-metrics,16
datazilla_client,40
datomish-user-agent-service,47
deepdev,276
deepspeech-pkguploadworker,19
deis-backup-service,14
deletethisrepo,2
delivery-console,1922
delivery-dashboard,533
deprecated-treestatus,75
developer-challenge-platform,47
developer-report,6
devroadshow2017,128
devtools-adb-extension,21
devtools-perf-game,28
devtools-reqs,45
digigo,5
dinobuildr,310
disco,1816
discoplace,135
discourse,3
discourse-auth0-mozilla,52
discourse-auto-email-in,11
discourse-category-categorization,2
discourse-email-all,2
discourse-expose-emails-in,8
discourse-mozilla-iam,141
discourse-mozilla-theme,74
discourse-mozilla-theme-beta,30
discourse-mozilla-theme-dark,3
discourse-mozilla-travis,22
discourse-mozillians,18
discourse-post-read-email,17
discourse-sidekiq-monitor,9
discourse-tldr,18
discourse-webmaker-id,4
discourse.mozilla.org,133
disk_key_encrypter,50
dispensary,1386
distribution-viewer,459
