repo_name,no_of_contributions
project_haiku.iot,217
project_haiku_dataviz.iot,33
project_haiku_status_api.iot,74
project_haiku_webrtc_signaling.iot,7
promise-sqlite,8
prospector,605
protocol,308
protocol-assets,40
protocol-sketch-plugin,34
protocol-tokens,52
protofun,4
prowac,125
pto,180
publish.webmaker.org,224
puente,120
pulse,111
pulse_actions,160
push-proxy,37
pushlog-addon,15
pwmgr_etl,2
pyjexl,13
pymake,376
pyo3-parsepatch,46
pytest-fxa,54
pytest-mozwebqa,255
python-nss-docs,8
python-spidermonkey,27
python-zeppelin,29
python_mozaggregator,451
python_mozetl,432
python_moztelemetry,422
qa-mozmill-tests,926
qac,13
qbrt,393
qmo-design,3
qmo-tests,156
quality.mozilla.org,125
r2d2b2g,1212
rainbow,117
rappor,468
rappor-aggregator,42
raptor-studio,49
rbbz,16
react-i18n,3
readability,433
receiptverifier,57
reclama,42
recommend-links-hack,31
recommender-core,3
recroom,81
recroom-docs,24
redash,6563
redash-stmo,171
redash-ui-tests,190
redash_client,218
redis-centos,3
referral-board,50
reflecto,9
reflex,271
reflex-react-driver,15
reflex-virtual-dom-driver,44
release-blog,247
release-notes,1513
release-services,3669
release_dash,462
releasehealth,115
releases-comm-central,17906
releasewarrior,2317
releng-jacuzzis,48
relengbot,32
relman-auto-nag,1075
relman-tools,16
relman_nag_tool,109
relmandash,31
relnotes,49
remo,2958
remo-tests,143
remote-newtab,309
remote-settings,126
remote-settings-uptake-health,33
remoteobjects,92
repo-templates,25
repotheweb,42
reps-edu,657
reps-mentorship,9
reps-tweets,9
rescuefox,47
research-website,48
research.firefox.com,1
restmail.net,91
restofthings,300
reticulum,2588
reviewbot,71
rhino,3115
riskHeatMap,116
rkv,358
rna,119
rocketfuel,340
rpm-sources,13
rra2json,65
rra3json,14
rust-android-gradle,71
rust-cascade,61
rust-ece,55
rust-parsepatch,90
rust-size,12
rust-tooltool,26
sample-tc-github-project,13
sasl-browserid,71
sauropod,74
sawmill,143
scanapi,5
scanjs,256
scanjs-core,1
sccache,1024
schemaker,25
schematic,31
school-of-webmaking,559
science.mozilla.org,441
sciencelab,3
scribe,10
scrumbugz,387
seasponge,148
secret-squirrel,26
secure-proxy-shield-study,2
security,205
security-advisor-shield-study,102
security-bytes-podcast,5
security-process-docs,13
self-repair-server,317
send,2830
server-core,623
server-share,1280
server-share-core,96
server-share-send,1
server-side-tls,203
service-map,110
servicebook,297
servicebook-web,263
services-quality-dashboard,5
serviceworker-cookbook,396
share-button-study,274
sheriffs,106
shield-cloudstorage,46
shield-onboarding,43
shield-studies-addon-template,351
shield-studies-addon-utils,538
shield-studies-dashboard,7
shield-study-certificate-diversity,3
shield-study-cli,23
shield-study-js-errors,5
shield-study-privacy,89
shield-study-rappor,31
shielddash,70
shinysurvey,2
shove,24
shumway,9235
shumway-dist,235
shumway-whitelist,9
side-view,308
sigma,25
sign-addon,761
signage,15
signing-clients,109
signing-service,8
silme,7
simulated-devices,83
skycrane-detector,6
skywriter,1465
slowparse,68
smarthome,2127
smithers,44
smokejumper,23
snakepit,292
snakepit-client,101
snippets-tests,142
snowl,868
social-graffiti,39
socialapi-core,17
socialapi-demo,239
socialapi-dev,465
socialmr,24
socorro-crashstats,959
socorro-docs,25
socorro-infra,356
socorrolib,56
solitude,524
solitude-auth,2
sops,1021
soup,9
source,718
source-map,654
spade,313
spark,632
spark-eol,143
spark-hyperloglog,48
spark-lib,12
spartacus,823
speakeasy,121
speaktome-node,17
speaktome-web,38
spectateur,26
speech-proxy,131
sphinx-js,392
sphinxbase,12
spicedham,297
spiderflunky,45
spidernode,14844
spiderweb,154638
spiderweb-spidernode,13397
spikes,67
splash.mozilla-ignite.org,45
splice,787
srg-ops,1
srgutil,33
srihash.org,296
ssh_mitm_poc,4
ssh_scan,753
ssh_scan_api,315
ssh_scan_worker,49
ssm-acquire,15
sso-mozilla-com,16
stab-crashes,279
standards-positions,274
standup,712
standup-irc,123
static-seed,3
statsd-console-backend,4
status.persona.org,122
steeplechase,77
stereophoto,29
stillis,3
stmoab,40
stmocli,32
stoneridge,486
stooge,49
structured-catalog,2
stubattribution-tests,391
studiomofo,71
stun-vm,13
styleguide,65
subhub,405
sugardough,274
sumo-experiments,68
sumo-playstore-campaign,40
sumo-projects,1
sumo-tests,543
sumobot,35
support-classifiers,1
surveillance.mozilla.org,7
swift-json,56
switchboard-server,8
symbols.m.o,20
taar,265
taar-api,138
taar-api-lite,111
taar-experiment-v2-shield-study,196
taar-experiment-v3-shield-study,563
taar-lite,97
taar_loader,19
tab-split,82
tabcandy,121
tabzilla,179
tag2cert,2
takebacktheweb.mozilla.org,32
talk-plugin-auth-checkbox,3
talkilla,2007
tantalus,1
task-defect-enhancement,15
task.js,2
tc-coalesce,98
tctalker,26
teach-api,177
teach-appmaker,1
team-list,22
telemetry-aggregator,183
telemetry-airflow,1485
telemetry-analysis-service,1154
telemetry-batch-view,945
telemetry-benchmarks,29
telemetry-collector,5
telemetry-dashboard,1291
telemetry-dashboard-prototype,35
telemetry-js-node,8
telemetry-next-node,18
telemetry-onboarding,27
telemetry-repro,1
telemetry-schema-service,156
telemetry-server,1437
telemetry-spark-packages-assembly,5
telemetry-streaming,194
telemetry-tools,43
templeton,9
tensorflow,38421
test-amo-validator,71
test-informant,30
test-jetpack-addon,1
testdaybot,36
testdroid-marionette-plugin,80
testperf_dashboard,22
testpilot,40
testpilot-analysis,2
testpilot-assets,408
testpilot-contribute,87
testpilot-ga,27
testpilot-meta,21
testpilot-metrics,22
testpilot-queries,9
testpilot2,123
testpilot_load,65
testpilot_metrics,33
testpilotweb,103
theopenstandard,63
thimble-homepage-gallery,15
thimble-takedown,5
thimble.mozilla.org,3467
three.xr.js,83
thunderhug,26
tiles_queue_processor,13
tincan,220
tinderbox,5
tippy-top-sites,50
tippy-top-sites-deprecated,134
tls-canary,163
tls-interop,18
tls-observatory,1236
tofino,1503
tofino-clabot,9
tofino-electron,10857
tofino-ffmpeg,4
toodle,71
toolbox,15
toolsforactivism,55
trackertest,17
tracking-protection-issues,8
tracking-test,17
trackingprotection-tools,46
trafficcop,17
transibution,14
transonic,578
treeherder,6826
treeherder-node-deprecated,53
treeherder-tests,157
treeherder-ui-deprecated,1
triage-burndown-charts,6
triage-center,150
triage-report,44
triage-stale,5
triage-summary,24
triagestats,2
trunion,106
trypersona.org,8
tsaws,8
ttw-podcast,32
tuxedo-lib,19
twemoji-colr,559
twitter-address-bar-search,2
typeoutloud.org,80
ubiquity,1827
uk-community,1
unicode-slugify,43
universal-search,217
universal-search-addon,179
universal-search-content,159
universal-search-download-page,4
universal-search-gecko-dev,118624
universal-search-old-iframe,15
universal-search-recommendation,166
up-jelly,275
uramaki,15
user-advocacy,135
user-query-optimizer,97
vaani,129
vaani.assistant,9
vaani.client,176
vaani.iot,10
vaani.microphone-check,82
vaani.raspberrypi,34
vaani.server,114
vaani.setup,9
vaanisdk,3
valence,390
vaporized_meerkat,3
vautomator-serverless,76
vautomator-standalone,25
vcap-ldap-shim,5
verbatim,22
version-control-tools,6958
video-bg-play,30
video_codec_module,3
videur,83
viewsourceconf-theme,4
vinz-clortho,303
voice-corpus-tool,43
voicebank-android,1
voicebank-ios,62
voicefill,220
voicejam-prototypes,32
vtt.js,511
vuln2bugs,43
wadi,13
wakeword,18
watchdog,42
watchdog-alert-passwords,7
watchdog-automate,7
watchdog-filter-bubble,1
watchdog-manager,93
watchdog-proxy,354
watchdog-visualhash,12
watchdog-visualize-old-passwords,6
watchdog-visualize-passwords,20
weave-backup,1207
weave-identity,764
weaveserver-obsolote,202
weaveserver-openid,18
weaveweb,3
web-components,41
web-ext,1690
web-forward,805
web-forward-playdoh-archived,168
web-games,7
web-lit-core,456
web-lit-training,2
web-literacy-client,71
web-to-lead,6
webapi-examples,8
webapps-spec,19
webcompat-blipz-experiment,199
webcompat-blipz-experiment-server,4
webcompat-bugcount-report-generator,9
webcompat-search,59
webcompat-team-okrs,1
webconsole,4
webdev,34
webdev-bootcamp,146
webdev-contributors,29
webdev-manager-resources,5
webdriver-rust,1
webext-compat-tool,126
webext-experiment-utils,28
webextension-polyfill,169
webgl-metrics,1
webifyme,102
webifyme-lib,8
webliteracymap,28
webmaker-addons,305
webmaker-analytics,48
webmaker-android,2593
webmaker-app-cordova,167
webmaker-app-publisher,127
webmaker-auth,29
webmaker-auth-client,154
webmaker-browser,280
webmaker-code-of-conduct,6
webmaker-core,332
webmaker-curriculum,527
webmaker-download-locales,50
webmaker-events,211
webmaker-events-service,276
webmaker-ffos,1
webmaker-filter,4
webmaker-firehose,4
webmaker-firehose-archive,14
webmaker-kits,74
webmaker-kits-builder,82
webmaker-landing-pages,130
webmaker-language-picker,83
webmaker-launch,21
webmaker-locales-mapping-configuration,11
webmaker-login-ux,141
webmaker-mailroom,187
webmaker-mediasync,105
webmaker-metrics,110
webmaker-moderator,22
webmaker-nav,138
webmaker-personas,5
webmaker-profile,270
webmaker-profile-2,264
webmaker-profile-service,80
webmaker-rid,6
webmaker-screenshot,112
webmaker-tests,50
webmaker-translation-stats,7
webmaker-ui,26
webmaker-user-client,17
webmaker-whitepaper,26
webmaker.org,1647
webmakerprototypes.org,5
webmakers-tumblr,6
webops-websec-guide,20
webowonder,274
webowonder-demos,125
webowonder-lib,6
webpay,1733
webprod-deis,23
webrtc,129
webrtc-demo,81
webrtc-landing,269
webrtc-sdp,303
webrtc-w3c,236
webrtc.mozilla.org,49
webrtcvad_js,14
webtools-bmo-qa,14
webtools-workermgmt,1
webxr-api,118
webxr-polyfill,277
webxray,605
whatthetrain,56
wiki-tests,91
wiki.mozilla.org,477
wikimo-skin,6
wikimo_content,260
winchan,62
womenandweb,55
woodstock,199
wordpress-plugins,2
workshop,110
workspace,33
wp-add-to-homescreen,72
wp-app-manifest,4
wp-calypso,7192
wp-offline-content,84
wp-offline-shell,206
wp-sw-manager,39
wp-web-push,779
wp.mozilla-ignite.org,16
wpt-api,263
wpt-sync,1294
wptview,139
wsoh,1
www-moz-works,7
www.ccadb.org,87
www.typeoutloud.org,69
x-tag-layouts,2
xpi_gate,5
xpisign.py,42
xtags-org,11
yaocho,95
yogafire,2681
zamboni,18618
zamboni-dashboard,76
zamboni-lib,344
zamboni-psds,17
zenko,17
zilla-slab,25
zippy,550
