,username,repo_name,no_of_contributions
12745,SingingTree,mp4parse-rust,35
338,SingingTree,nestegg,6
14860,SingingTree,sccache,1
12609,SingingTree,version-control-tools,1
3801,SirAnthony,i18n-abide,1
6166,SirR4T,treeherder,7
16300,SirTyson,mozilla-django-oidc,1
4475,Sixdsn,releases-comm-central,9
18194,Skalman,firefox-browser-architecture,1
10431,Skatox,firefox10.org,5
19141,SkyBeam,policy-templates,1
13900,SkynetHome,openhab,52
15407,Slabity,nixpkgs-mozilla,1
4609,SlexAxton,WebGameStub,1
4175,SlimYang,labs-vcap-services,18
4227,SlimYang,labs-vcap-tests,1
1492,SmileyChris,bedrock,32
273,SmileyChris,bleach,3
118,SmileyChris,kitsune,47
13905,Snickermicker,openhab,35
3820,Snuffleupagus,botio-files-pdfjs,8
1589,Snuffleupagus,pdf.js,2913
9174,SofieAdler,ascendproject,2
17781,SoftVision-CiprianMuresan,notes,4
1376,Somsubhra,persona,5
16754,Sonalisinghal,moz-sql-parser,2
806,SorraTheOrc,batucada,1
19702,Soumya0803,overscripted,5
10291,Sp1l,server-side-tls,3
6174,Sparsh-Bansal,treeherder,5
18438,SparshKat,hubs,6
13939,Speederc,openhab,12
8056,SpenQ,csp-logger,7
3738,SphinxKnight,One-Mozilla-blog,1
11894,SphinxKnight,donate.mozilla.org,4
74,SphinxKnight,zamboni,9
16286,SpyTec,mozilla-django-oidc,3
13262,Srushtika,OpenDesign,4
15918,Srushtika,mozilla-campus-clubs,2
13465,Standard8,activity-stream,21
3854,Standard8,awsbox,7
5315,Standard8,build-mozharness,1
5485,Standard8,build-tools,3
2179,Standard8,deprecated-treestatus,2
11611,Standard8,eslint-plugin-no-unsanitized,2
15935,Standard8,example-addon-repo,39
17952,Standard8,followonsearch,24
7601,Standard8,gecko-dev,2125
3263,Standard8,git-bz-moz,1
10624,Standard8,hello-tests,11
12852,Standard8,loop,625
8737,Standard8,loop-client,344
10488,Standard8,loop-client-l10n,30
12933,Standard8,loop-test,428
3375,Standard8,moz-git-tools,1
13228,Standard8,normandy,8
16719,Standard8,one-off-system-add-ons,15
1662,Standard8,pdf.js,3
13649,Standard8,release-services,3
4408,Standard8,releases-comm-central,134
14460,Standard8,sign-addon,1
5526,Standard8,socialapi-demo,76
2414,Standard8,source-map,1
6332,Standard8,talkilla,642
12594,Standard8,version-control-tools,2
8286,Stenox,spartacus,1
17618,SteveVanOpstal,http-server,1
9895,StevenZhang123,science.mozilla.org,1
14927,Stone-Jay,tofino-electron,15
17153,StoyanDimitrov,activity-stream-l10n,18
13802,StoyanDimitrov,addons-frontend,109
8363,StoyanDimitrov,addons-server,196
9505,StoyanDimitrov,advocacy.mozilla.org,16
3663,StoyanDimitrov,browserid-cookbook,1
6813,StoyanDimitrov,commbadge,5
17302,StoyanDimitrov,copyright,10
5942,StoyanDimitrov,fireplace,23
8587,StoyanDimitrov,fxa-content-server-l10n,118
11089,StoyanDimitrov,learning.mozilla.org,13
10494,StoyanDimitrov,loop-client-l10n,23
7356,StoyanDimitrov,marketplace-stats,3
15526,StoyanDimitrov,outofdate-notifications-system-addon,1
1175,StoyanDimitrov,pontoon,4
10036,StoyanDimitrov,pontoon-intro,8
8304,StoyanDimitrov,spartacus,1
97,StoyanDimitrov,zamboni,5
7511,StoyanDimitrov,zippy,1
14022,Stratehm,openhab2-addons,7
14133,Stratehm,smarthome,1
18819,StuartWinterTear,ctf-austin,1
18879,SuYoungHong,Fx_Usage_Report,64
17099,SuYoungHong,data-docs,5
20558,SuYoungHong,dscontrib,62
18760,SuYoungHong,ensemble-transposer,5
13977,SubOptimal,openhab,5
6664,Subedy,popcorn.webmaker.org,1
13373,Sudip7,network-pulse,11
8026,SueSmith,badgekit-api,108
8099,SueSmith,badgekit-api-client,99
1795,SueSmith,openbadges-backpack,31
7669,SueSmith,openbadges-badgekit,28
16918,Sugnay,foundation.mozilla.org,1
16919,SukhnandanMalhotra,foundation.mozilla.org,1
12847,Sumith1896,wptview,3
6974,SunboX,MozStumbler,1
925,SunboX,ace,9
2277,SunboX,gcli,9
1069,SunboX,pilot,9
19041,Sush0512,coverage-crawler,3
17382,Sush0512,grcov,1
13666,Sush0512,release-services,2
7312,Sussesj,badgeopolis,8
6134,SuyashSalampuria,treeherder,29
181,Svetlana-T,kitsune,1
10188,SviMik,openvpn,1
20073,Swatinem,jsxgettext,2
11286,Swatinem,node-openid,10
9562,Swatinem,pymake,3
12605,Swatinem,version-control-tools,1
6541,Sylvia23,telemetry-dashboard,19
13504,TDA,activity-stream,1
11700,TDA,fxa,182
9991,TDA,fxa-auth-db-mysql,1
9331,TDA,fxa-auth-mailer,3
6684,TDA,fxa-auth-server,8
12676,TDA,fxa-checkbox,3
11311,TDA,fxa-content-experiments,1
7182,TDA,fxa-content-server,56
8924,TDA,fxa-customs-server,1
12002,TDA,fxa-easter-egg,10
15462,TDA,fxa-geodb,112
7827,TDA,fxa-js-client,3
8472,TDA,fxa-oauth-server,1
12007,TDA,fxa-password-strength-checker,25
8435,TDA,fxa-profile-server,1
10450,TDA,fxa-relier-client,1
15883,TDA,fxa-shared,1
12116,TDA,micro-email-validator,2
10182,TDivine,openvpn,1
13056,TESTPERSONAL,chat.mozillafoundation.org,1
19055,TGiles,remote-settings,1
1669,THausherr,pdf.js,3
4092,TLemur,mozdownload,4
19349,Taegeonlee,contain-facebook,2
8296,Taegeonlee,spartacus,1
14443,Tankenstein,fathom,1
14399,TannerFilip,ansible-playbook-rabbitmq,1
18220,TannerFilip,discourse-mozilla-theme,1
160,TannerFilip,kitsune,3
2131,TannerFilip,mozillians,1
5840,TannerFilip,mwc,1
13364,TannerFilip,partinfra-playbooks,5
14379,TannerFilip,partinfra-terraform,8
3336,TannerFilip,remo,1
459,Taraman17,mozmill,1
4433,Taraman17,releases-comm-central,50
2987,Tenzer,pad,3
9247,The-O-King,angle,7
18217,The-smooth-operator,discourse-mozilla-theme,3
16816,The-smooth-operator,discourse.mozilla.org,34
146,The-smooth-operator,kitsune,5
7518,The-smooth-operator,mozmoderator,34
20575,The-smooth-operator,subhub,2
17793,TheAdnan,notes,2
15725,TheBengineer,mozilla-advocacy-gantt,5
4834,TheDancingCode,nunjucks,2
15082,TheEssem,twemoji-colr,436
9764,TheGallery,discoplace,1
5963,TheGallery,fireplace,7
10568,TheGallery,loop-client-l10n,2
10747,TheGallery,masterfirefoxos-l10n,3
2079,TheGallery,mozillians,2
11979,TheGallery,payments-l10n,1
8284,TheGallery,spartacus,2
5200,TheGallery,webpay,1
7509,TheGallery,zippy,1
9157,TheLady,ascendproject,42
13350,TheNavigat,pipstrap,1
17215,TheSahithi,activity-stream-l10n,4
13851,TheSahithi,addons-frontend,22
12502,TheSahithi,addons-linter,2
9547,TheSahithi,advocacy.mozilla.org,1
17768,TheSahithi,notes,7
17900,TheSahithi,send,9
6421,TheSahithi,thimble.mozilla.org,11
556,TheSpyder,addon-sdk,1
3337,TheTeraByte,remo,1
6755,TheTeraByte,reps-mentorship,1
6205,TheTeraByte,treeherder,3
15605,TheoChevalier,activate.mozilla.community,67
17137,TheoChevalier,activity-stream-l10n,33
13791,TheoChevalier,addons-frontend,137
12438,TheoChevalier,addons-linter,12
8359,TheoChevalier,addons-server,201
9492,TheoChevalier,advocacy.mozilla.org,130
1490,TheoChevalier,bedrock,33
19621,TheoChevalier,blurts-addon,1
18603,TheoChevalier,blurts-server,101
5429,TheoChevalier,build-talos,1
19285,TheoChevalier,contain-facebook,11
17289,TheoChevalier,copyright,123
9771,TheoChevalier,discoplace,1
11802,TheoChevalier,donate.mozilla.org,253
5923,TheoChevalier,fireplace,44
16891,TheoChevalier,foundation.mozilla.org,37
8569,TheoChevalier,fxa-content-server-l10n,217
11079,TheoChevalier,learning.mozilla.org,46
7963,TheoChevalier,legal-docs,13
10489,TheoChevalier,loop-client-l10n,30
7367,TheoChevalier,marketplace-stats,2
10737,TheoChevalier,masterfirefoxos-l10n,13
8731,TheoChevalier,mrburns,2
17742,TheoChevalier,notes,16
6732,TheoChevalier,osumo,1
15511,TheoChevalier,outofdate-notifications-system-addon,1
11965,TheoChevalier,payments-l10n,4
1668,TheoChevalier,pdf.js,3
1211,TheoChevalier,pontoon,1
6919,TheoChevalier,rocketfuel,1
8810,TheoChevalier,sawmill,2
17851,TheoChevalier,send,30
6378,TheoChevalier,thimble.mozilla.org,92
9429,TheoChevalier,webmaker-mailroom,13
9037,TheoChevalier,yogafire,3
63,TheoChevalier,zamboni,13
281,ThiefMaster,bleach,1
14065,ThomDietrich,openhab2-addons,1
2202,ThomasWunderlich,playdoh-docs,1
9272,ThomsonTan,angle,3
14505,ThreaT,Java-WebSocket,3
18852,TiSli,open-leadership-framework,93
9243,TiborsHub,angle,8
681,TimAbraldes,openwebapps,23
12681,TimAbraldes,platform-status,86
9638,TimAbraldes,pluotsorbet,140
13329,TimAbraldes,prowac,78
12640,TimAbraldes,serviceworker-cookbook,20
13290,TimAbraldes,wp-web-push,4
6823,TimBluesWin,commbadge,3
10048,TimBluesWin,pontoon-intro,6
8294,TimBluesWin,spartacus,1
82,TimBluesWin,zamboni,7
314,TimDumol,bleach,1
14885,TimNN,sccache,1
5090,TimWolla,etherpad-lite,1
14781,Timmaks,Reps,4
14221,Timmmm,kaldi,1
14884,Timmmm,sccache,1
316,TimothyFitz,bleach,1
1650,TimothyGu,pdf.js,4
14589,TimothyGu,spidernode,58
5640,Timvde,arewefastyet,3
20360,Tintinator,addons-code-manager,1
6189,Tintinator,treeherder,4
311,TintypeMolly,bleach,1
19085,TomFrost,mozjexl,59
13217,TomFrost,normandy,59
15559,TomFrost,pyjexl,1
7698,TomMalbran,brackets,411
17383,TomPridham,grcov,1
926,TomTasche,ace,8
17156,TonnesM,activity-stream-l10n,16
13804,TonnesM,addons-frontend,98
12470,TonnesM,addons-linter,5
8377,TonnesM,addons-server,129
9497,TonnesM,advocacy.mozilla.org,36
18664,TonnesM,blurts-server,7
6795,TonnesM,commbadge,9
17312,TonnesM,copyright,5
9752,TonnesM,discoplace,3
11815,TonnesM,donate.mozilla.org,57
5912,TonnesM,fireplace,84
8592,TonnesM,fxa-content-server-l10n,108
11095,TonnesM,learning.mozilla.org,10
7972,TonnesM,legal-docs,7
10490,TonnesM,loop-client-l10n,25
7323,TonnesM,marketplace-stats,13
17739,TonnesM,notes,19
15513,TonnesM,outofdate-notifications-system-addon,1
11994,TonnesM,payments-l10n,1
6219,TonnesM,personas-plus,1
10029,TonnesM,pontoon-intro,9
6889,TonnesM,rocketfuel,7
17880,TonnesM,send,14
8260,TonnesM,spartacus,8
6386,TonnesM,thimble.mozilla.org,57
5142,TonnesM,webpay,17
9019,TonnesM,yogafire,10
30,TonnesM,zamboni,65
7512,TonnesM,zippy,1
14497,TooTallNate,Java-WebSocket,88
15778,TooTallNate,positron-spidernode,197
14569,TooTallNate,spidernode,197
16458,TooTallNate,spiderweb-spidernode,197
14296,TooTallNate,wp-calypso,35
6078,ToxicWar,badges.mozilla.org,5
9483,ToxicWar,django-badgekit,5
2589,ToxicWar,django-badger,5
18399,TrangNguyenBC,active-data-recipes,65
20254,TrangNguyenBC,bugzilla-dashboard,13
15431,Treora,page-metadata-parser,1
11016,Treora,readability,2
16229,Treora,webextension-polyfill,1
17962,TrevorDev,webxr-api,1
18999,TrevorFSmith,action-input,38
19448,TrevorFSmith,arch-website,1
18692,TrevorFSmith,social-graffiti,20
17957,TrevorFSmith,webxr-api,91
18360,TrevorFSmith,webxr-polyfill,70
15774,Trott,positron-spidernode,465
14560,Trott,spidernode,682
16454,Trott,spiderweb-spidernode,465
17792,TruptiM18,notes,3
4849,TrySound,nunjucks,1
14309,Tsarpf,wp-calypso,17
13020,Tsynapse,chat.mozillafoundation.org,3
7748,TuckerWhitehouse,brackets,19
14277,Tug,wp-calypso,97
12203,TuhinNair,sops,1
12381,TwinProduction,addons,1
2133,TwinProduction,mozillians,1
404,TwoD,popcorn-js,1
19415,Tyler-R,UCOSP-winter-2018_TrackingTechnologies,3
145,TylerDowner,kitsune,5
8243,TylerDowner,user-advocacy,1
3175,UK992,shumway,1
9649,Uberi,cerberus,54
11331,Uberi,emr-bootstrap-spark,4
13322,Uberi,jupyter-notebook-gist,2
9899,Uberi,medusa,14
14416,Uberi,moz-crash-rate-aggregates,12
13735,Uberi,parquet2hive,1
11641,Uberi,python_mozaggregator,2
10670,Uberi,python_moztelemetry,2
12808,Uberi,telemetry-batch-view,48
6531,Uberi,telemetry-dashboard,392
12119,Uberi,telemetry-next-node,12
6771,Uberi,telemetry-server,11
8628,Uchup19,fxa-content-server-l10n,49
17903,Uchup19,send,9
15527,Ugzuzg,outofdate-notifications-system-addon,1
4329,Unfocused,integration-mozilla-inbound,182
3529,Unfocused,pjs,171
771,Unfocused,ubiquity,120
811,UtiluMark,nightlytt,11
4089,Utkarsh1308,mozdownload,5
18590,Utopiah,aframe-xr,2
10745,Uwanja,masterfirefoxos-l10n,4
709,VIRDIH2,bespinclient,2
791,VIRDIH2,skywriter,2
5590,VarnaSuresh,oneanddone,4
2486,Vectrobe,cubeb,1
12869,Vidhuran,loop,8
8760,Vidhuran,loop-client,2
18807,ViktorLindstrm,ctf-austin,2
11772,Vimal-Raghubir,fxa,2
7220,Vimal-Raghubir,fxa-content-server,2
1144,VishalCR7,pontoon,37
13578,Vishalghyv,web-ext,1
19527,Vishwa-Mozilla,application-services,2
20268,VitosX,dockutil,2
7777,VizuaaLOG,brackets,8
15207,Vj3k0,positron-electron,3
6969,VolMi,MozStumbler,2
18920,Vproject,TTS,1
13398,WaeCo,jupyter-spark,2
19329,Wanibzh29,contain-facebook,3
10027,Wanibzh29,pontoon-intro,9
5102,Waqar144,Marketplace.PHP,1
6724,Wawki,minion-backend,5
6599,Wawki,minion-frontend,4
5892,Wawki,minion-nmap-plugin,12
18899,WeberJulian,TTS,5
7705,WebsiteDeveloper,brackets,202
12838,Wei-1,telemetry-batch-view,1
14127,WetwareLabs,smarthome,1
5035,Wikinaut,etherpad-lite,23
9434,WillatMozFdn,webmaker-mailroom,5
19412,WilliamTom,bro,1
12359,WilsonKathleen,ca-policy,22
17647,WilsonKathleen,www.ccadb.org,24
17052,WimYedema,sphinx-js,23
17227,Wintersunshine-Do,activity-stream-l10n,3
6803,Witia1,commbadge,7
5927,Witia1,fireplace,33
8282,Witia1,spartacus,2
5141,Witia1,webpay,17
9008,Witia1,yogafire,15
78,Witia1,zamboni,8
7494,Witia1,zippy,1
13236,Wittiest,normandy,1
4568,WraithKenny,WebGameStub,5
1215,XAMPPRocky,pontoon,1
5866,XNicON,calculator,1
17003,Xaeroxe,webrtc-sdp,2
20035,XapaJIaMnu,kenlm,2
1620,Xaviertonnellier6,pdf.js,17
14766,XhmikosR,http-observatory-website,5
10907,XhmikosR,srihash.org,116
19408,Xiaogrill,bro,1
7020,XioNoX,BanHammer,9
18058,XioNoX,ansible-junos-stdlib,4
15682,YD-89,activate.mozilla.community,2
13860,YD-89,addons-frontend,17
19623,YD-89,blurts-addon,1
10315,Yajo,server-side-tls,1
20182,Yashs911,extension-workshop,1
13382,Yashs911,network-pulse,2
10185,Yawning,openvpn,1
15665,YazidIflis,activate.mozilla.community,3
17813,YazidIflis,notes,2
17622,Yomguithereal,http-server,1
14095,YordanDZhelev,smarthome,8
533,Yoric,addon-sdk,2
5376,Yoric,build-talos,4
7649,Yoric,gecko-dev,1276
12312,Yoric,newtab-dev,687
14751,Yoric,positron,689
16445,Yoric,spiderweb,689
11472,Yoric,universal-search-gecko-dev,554
18921,Yorwba,TTS,1
19729,Yrkan,Spoke,2
12489,Yrkan,addons-linter,3
2993,Yuuji,pad,2
9457,ZER0,adbhelper,1
476,ZER0,addon-sdk,318
4853,Zabari,nunjucks,1
20614,ZachEddy,fleet,1
6726,ZaiLynch,minion-backend,2
6600,ZaiLynch,minion-frontend,2
6741,ZaiLynch,minion-ssl-plugin,4
20148,Zearin,extension-workshop,4
4740,Zearin,html5-lint,10
7666,ZeeJab,openbadges-badgekit,190
8039,ZeeJab,openbadges-discovery,30
8476,ZeeJab,webmaker-kits-builder,6
6314,ZeeJab,webmaker.org,4
16923,ZekeMedley,foundation.mozilla.org,1
14467,ZenanZha,sign-addon,1
17344,ZenanZha,thimble-homepage-gallery,1
3007,Zir0h,pad,1
15604,ZiriSut,activate.mozilla.community,75
13845,ZiriSut,addons-frontend,23
8379,ZiriSut,addons-server,115
18662,ZiriSut,blurts-server,8
8608,ZiriSut,fxa-content-server-l10n,70
10049,ZiriSut,pontoon-intro,6
17916,ZiriSut,send,6
285,Zopieux,bleach,1
4494,a-buck,airmozilla,5
19738,a-kilroy,events-issues,1
17158,a-polivanchuk,activity-stream-l10n,15
13797,a-polivanchuk,addons-frontend,120
12443,a-polivanchuk,addons-linter,11
8347,a-polivanchuk,addons-server,308
19599,a-polivanchuk,blurts-addon,1
18608,a-polivanchuk,blurts-server,73
6816,a-polivanchuk,commbadge,4
19310,a-polivanchuk,contain-facebook,4
9754,a-polivanchuk,discoplace,2
11822,a-polivanchuk,donate.mozilla.org,46
5920,a-polivanchuk,fireplace,46
8579,a-polivanchuk,fxa-content-server-l10n,163
10499,a-polivanchuk,loop-client-l10n,21
7340,a-polivanchuk,marketplace-stats,6
17796,a-polivanchuk,notes,2
15481,a-polivanchuk,outofdate-notifications-system-addon,1
11976,a-polivanchuk,payments-l10n,1
10082,a-polivanchuk,pontoon-intro,3
6911,a-polivanchuk,rocketfuel,1
17884,a-polivanchuk,send,12
8259,a-polivanchuk,spartacus,8
5164,a-polivanchuk,webpay,5
53,a-polivanchuk,zamboni,26
7496,a-polivanchuk,zippy,1
5705,a-r-d,hawk,1
8175,a-varun,events.webmaker.org,1
17012,a2sheppy,moz-handler,1
18688,a2y4,blurts-server,3
19701,aSquare14,overscripted,8
12508,aa-deet-eeya,addons-linter,1
16869,aabbi,multi-account-containers,1
4840,aaboyd,nunjucks,1
16156,aacrouch,redash,6
2280,aag,gcli,2
17231,aalam,activity-stream-l10n,2
13866,aalam,addons-frontend,15
6811,aalam,commbadge,5
19282,aalam,contain-facebook,11
9765,aalam,discoplace,1
11884,aalam,donate.mozilla.org,5
5953,aalam,fireplace,12
8614,aalam,fxa-content-server-l10n,67
10527,aalam,loop-client-l10n,8
7353,aalam,marketplace-stats,3
17770,aalam,notes,6
15477,aalam,outofdate-notifications-system-addon,1
10081,aalam,pontoon-intro,3
6912,aalam,rocketfuel,1
17910,aalam,send,7
8253,aalam,spartacus,11
5177,aalam,webpay,3
9046,aalam,yogafire,2
65,aalam,zamboni,11
7482,aalam,zippy,2
15978,aaroey,tensorflow,299
18805,aaron-m-edwards,ctf-austin,2
1944,aarondruck,betafarm,1
8045,aarondruck,hotdish,182
10590,aarondruck,interest-dashboard,21
2209,aarondruck,web-forward,66
11384,aaronpk,MediaWiki-Github-Issues,6
12872,aaronraimist,loop,4
8753,aaronraimist,loop-client,3
12950,aaronraimist,loop-test,4
19079,aaronshivers,protocol,1
4493,aarshvig,airmozilla,6
15246,aayagar001,DeepSpeech,5
19256,aayush420,redash-ui-tests,1
13861,aayushsanghavi,addons-frontend,16
11098,aayushsanghavi,learning.mozilla.org,8
6620,aayushsanghavi,mozilla.github.io,1
13379,aayushsanghavi,network-pulse,2
9608,aayushsanghavi,release-blog,1
18120,ab-ab,aom,7
6549,ab0092,telemetry-dashboard,6
16849,abaez,multi-account-containers,1
12893,abahmed,loop,1
12966,abahmed,loop-test,1
4431,abahmed,releases-comm-central,58
18130,aballier,aom,2
13147,abarth,moz-skia,2
20505,abbcdfin,neqo,5
1987,abbeyj,dxr,59
14303,abbwebdev,wp-calypso,22
13975,abeggled,openhab,6
16824,abelgoodwin1988,probe-dictionary,1
6862,abelsonlive,OpenOpenNewsNews,5
1396,abendigo,persona,1
9356,abesto,changelog,77
18208,abhaychawla,firefox-code-coverage-frontend,1
19191,abhaykatheria,bugbug,4
7273,abhi12ravi,ouija,11
18808,abhibundela,ctf-austin,1
10593,abhididdigi,interest-dashboard,2
17838,abhinadduri,send,166
6589,abhinandan1995,telemetry-dashboard,1
9863,abhinavdahiya,migfw,12
872,abhinavsharma,prospector,7
9126,abhishekvp,qa-mozmill-tests,1
9725,abhishekvp,webmaker-android,2
769,abi,ubiquity,189
775,abiman7u,ubiquity,2
2545,abompard,django-browserid,7
11849,aboodmanna,donate.mozilla.org,14
5990,aboodmanna,fireplace,2
10757,aboodmanna,masterfirefoxos-l10n,1
10065,aboodmanna,pontoon-intro,4
7497,aboodmanna,zippy,1
7732,abose,brackets,36
1147,abowler2,pontoon,27
13629,abpostelnicu,release-services,39
12548,abpostelnicu,version-control-tools,8
13926,abrenk,openhab,17
19245,abstrekt,bugbug,1
2992,absynce,pad,2
17936,abtinmo,send,4
18950,acabunoc,2018-global-sprint-planning,11
15337,acabunoc,Jisort,1
14532,acabunoc,api.mozillascience.org,1
16093,acabunoc,curriculum-final,1
17501,acabunoc,global-sprint,78
16950,acabunoc,inclusion,1
15743,acabunoc,leadership-training,207
2609,acabunoc,mozillafestival.org,1
16771,acabunoc,network-pulse-api,2
19265,acabunoc,olm-whitepaper,5
18853,acabunoc,open-leadership-framework,10
16318,acabunoc,open-leadership-training-series,111
9879,acabunoc,science.mozilla.org,20
18954,acabunoc,web-lit-core,10
6855,acdha,mod_authnz_persona,2
1087,acdha,remoteobjects,1
4384,aceman444,releases-comm-central,1113
15751,acgetchell,leadership-training,1
14134,achazalet-orange,smarthome,1
4158,achied,labs-vcap,1
18809,achimgrimm,ctf-austin,1
17932,achiodza,send,4
2434,achronop,cubeb,190
19984,achronop,cubeb-coreaudio-rs,1
17405,achronop,cubeb-pulse-rs,8
341,achurch,nestegg,2
4154,ack,labs-vcap,1
6526,ackyshake,PyHawk,1
20518,acmiyaguchi,addons_daily,5
20450,acmiyaguchi,bigquery-etl,83
8826,acmiyaguchi,build-relengapi,33
17087,acmiyaguchi,data-docs,16
11330,acmiyaguchi,emr-bootstrap-spark,6
19896,acmiyaguchi,gcp-ingestion,32
20312,acmiyaguchi,glean,1
20246,acmiyaguchi,jsonschema-transpiler,333
19779,acmiyaguchi,libprio,15
16779,acmiyaguchi,mozilla-reports,25
20533,acmiyaguchi,mozilla-schema-generator,71
17039,acmiyaguchi,moztelemetry,14
19957,acmiyaguchi,prio-processor,406
11633,acmiyaguchi,python_mozaggregator,65
17416,acmiyaguchi,python_mozetl,183
10662,acmiyaguchi,python_moztelemetry,7
13630,acmiyaguchi,release-services,33
18175,acmiyaguchi,spark-hyperloglog,7
15031,acmiyaguchi,telemetry-airflow,162
12806,acmiyaguchi,telemetry-batch-view,74
19868,acmiyaguchi,telemetry-benchmarks,16
6546,acmiyaguchi,telemetry-dashboard,9
16983,acmiyaguchi,telemetry-streaming,2
18078,aconverse,aom,690
14051,actong,openhab2-addons,1
3632,adahanu074,relman-auto-nag,1
20160,adakaleh,extension-workshop,1
3961,adam-be,webrtc-w3c,33
15172,adam-lynch,positron-electron,4
14991,adam-lynch,tofino-electron,4
7093,adamcrosby,cipherscan,2
9947,adamdecaf,tls-observatory,38
13050,adamenger,chat.mozillafoundation.org,1
20615,adamenger,fleet,1
10936,adamgreenhall,call-congress,47
20594,adamguenther,fleet,3
4603,adamjmcintyre,WebGameStub,1
8896,adamkalis,buddyup,6
15476,adamkalis,outofdate-notifications-system-addon,1
8814,adamlofting,adhoctribution,59
9541,adamlofting,advocacy.mozilla.org,1
8733,adamlofting,aggredash,39
7148,adamlofting,appmaker-components,7
6083,adamlofting,badges.mozilla.org,1
9630,adamlofting,bsd-forms-and-wrappers,8
10895,adamlofting,build.webmaker.org,9
11814,adamlofting,donate.mozilla.org,57
8171,adamlofting,events.webmaker.org,3
8556,adamlofting,gitribution,36
7079,adamlofting,goggles.mozilla.org,3
11353,adamlofting,id.webmaker.org,8
11109,adamlofting,learning.mozilla.org,5
4967,adamlofting,login.webmaker.org,8
8801,adamlofting,lumberyard,1
6876,adamlofting,make-valet,1
8850,adamlofting,makerparty,2
9837,adamlofting,mofo-campaignurl,13
10926,adamlofting,mofo-metrics,1
10630,adamlofting,mofo-transaction-storage,6
8877,adamlofting,park-warden,1
11545,adamlofting,participation-heartbeat,4
6641,adamlofting,popcorn.webmaker.org,4
9339,adamlofting,team-list,20
6457,adamlofting,thimble.mozilla.org,3
8795,adamlofting,transibution,14
8309,adamlofting,webmaker-analytics,10
9709,adamlofting,webmaker-android,8
8445,adamlofting,webmaker-auth,3
8225,adamlofting,webmaker-auth-client,11
11260,adamlofting,webmaker-browser,2
10640,adamlofting,webmaker-curriculum,1
9441,adamlofting,webmaker-landing-pages,20
10011,adamlofting,webmaker-metrics,110
8872,adamlofting,webmaker-profile-2,2
9365,adamlofting,webmaker-rid,1
6301,adamlofting,webmaker.org,18
280,adamlofts,bleach,1
16129,adamlwgriffiths,redash,21
5091,adammawson,etherpad-lite,1
1118,adammiller,markup,46
1089,adammiller,webifyme,22
8963,adamnbowen,ambient-boxen,1
12862,adamroach,loop,32
8754,adamroach,loop-client,3
12940,adamroach,loop-test,32
18319,adamroach,standards-positions,17
4099,adamschmalhofer,mozdownload,1
11241,adamskyle-ios,SwiftKeychainWrapper,1
8964,adamyonk,ambient-boxen,1
653,adaoraul,django-recaptcha,1
15788,addaleax,positron-spidernode,92
14571,addaleax,spidernode,187
16467,addaleax,spiderweb-spidernode,92
8391,addons-robot,addons-server,90
4604,addyosmani,WebGameStub,1
4565,adeelejaz,WebGameStub,5
2636,adelq,nocturnal,4
15185,adill,positron-electron,3
14960,adill,tofino-electron,6
3690,adini121,marketplace-tests,1
15376,adisbladis,nixpkgs-mozilla,3
429,admc,mozmill,223
4132,admgre,labs-vcap,6
5687,admix,MakeAPI,1
8174,admix,events.webmaker.org,1
7075,admix,goggles.mozilla.org,17
4970,admix,login.webmaker.org,3
8315,admix,nav-global,4
393,admix,popcorn-js,3
6637,admix,popcorn.webmaker.org,14
6419,admix,thimble.mozilla.org,12
6304,admix,webmaker.org,11
3814,adngdb,SocorroSearchService,2
4605,adngdb,WebGameStub,1
2596,adngdb,about-home-jumping-fox-game,39
13299,adngdb,bug-signatures-status,13
3028,adngdb,configman,6
8786,adngdb,crontabber,2
3584,adngdb,dragnet,1
1421,adngdb,elmo,12
3024,adngdb,elmo-templates,78
4720,adngdb,fjord,1
7550,adngdb,galaxy,1
8071,adngdb,galaxy-api,7
133,adngdb,kitsune,10
3568,adngdb,mediawiki-bugzilla,2
1141,adngdb,pontoon,208
4042,adngdb,socorro-crashstats,106
2844,adngdb,socorro-docs,2
10842,adngdb,socorro-infra,5
13882,adngdb,socorrolib,1
11248,adngdb,spectateur,23
6547,adrian17,telemetry-dashboard,7
5053,adrianheine,etherpad-lite,3
12139,adrianosela,sops,8
4606,adrienkohlbecker,WebGameStub,1
7784,adrocknaphobia,brackets,6
5380,adusca,build-talos,3
10247,adusca,mozilla_ci_tools,182
11647,adusca,pulse_actions,84
6180,adusca,treeherder,4
14254,aduth,wp-calypso,526
10300,adyavanapalli,server-side-tls,1
283,aehlke,bleach,1
1656,aeosynth,pdf.js,3
19381,aeppert,bro,4
7631,aethanyc,gecko-dev,1529
3255,aethanyc,git-bz-moz,2
3381,aethanyc,moz-git-tools,1
4838,af,nunjucks,1
7797,af,nunjucks-docs,1
9293,afabbro,valence,6
5989,afarsi,fireplace,3
10076,afarsi,pontoon-intro,4
84,afarsi,zamboni,7
19321,afdaapala,contain-facebook,3
8959,afeld,ambient-boxen,2
2048,afindlay,mozillians,26
2829,afindlay,mozillians-ldap,26
14331,afsheenirani,wp-calypso,7
14040,afuechsel,openhab2-addons,2
14082,afuechsel,smarthome,26
15347,agashlin,triage-center,1
10991,agentsguha,fhr-r-rollups,1
18831,agi,geckoview,6
18830,agi90,geckoview,13
