,username,repo_name,no_of_contributions
1289,AlinT,FlightDeck-selenium,19
1764,AlinT,Socorro-Tests,127
3546,AlinT,bidpom,12
5243,AlinT,bouncer-tests,2
989,AlinT,input-tests,6
3669,AlinT,marketplace-tests,179
7872,AlinT,marketplace-tests-gaia,5
1442,AlinT,mcom-tests,19
2138,AlinT,mdn-tests,8
1334,AlinT,moz-grid-config,24
2861,AlinT,mozillians-tests,22
2820,AlinT,moztrap-tests,22
972,AlinT,mozwebqa-test-templates,7
2159,AlinT,qmo-tests,10
6231,AlinT,remo-tests,21
3754,AlinT,snippets-tests,1
1692,AlinT,sumo-tests,45
2528,AlinT,wiki-tests,7
286,Alir3z4,bleach,1
17496,Aljullu,voicefill,2
13464,AllegroFox,activity-stream,28
15920,AlphaRoy14,mozilla-campus-clubs,1
15644,Alphal10n,activate.mozilla.community,6
13838,Alphal10n,addons-frontend,29
12474,Alphal10n,addons-linter,4
9519,Alphal10n,advocacy.mozilla.org,5
19597,Alphal10n,blurts-addon,1
17300,Alphal10n,copyright,10
17787,Alphal10n,notes,3
6441,Alphal10n,thimble.mozilla.org,5
4842,AlynxZhou,nunjucks,1
17795,Amazigh-bedar,notes,2
13512,AmedeoSpagnolo,codemoji,329
18837,Amejia481,geckoview,1
233,AnAverageHuman,mozregression,1
13253,AnXh3L0,OpenDesign,38
9891,AnamikaD,science.mozilla.org,1
15791,AndreasMadsen,positron-spidernode,73
14580,AndreasMadsen,spidernode,77
16471,AndreasMadsen,spiderweb-spidernode,73
272,AndreasMalecki,bleach,3
7642,AndreeaPavel,gecko-dev,1330
20227,AndreiH,iris,19
19014,AndreiH,iris_firefox,45
4102,AndreiH,mozdownload,1
9493,AndreiTarkovski,advocacy.mozilla.org,63
17309,AndreiTarkovski,copyright,6
11851,AndreiTarkovski,donate.mozilla.org,14
6427,AndreiTarkovski,thimble.mozilla.org,9
69,AndreiTarkovski,zamboni,10
2308,Andrew-William-Smith,lightbeam,1
6450,Andriy-K,thimble.mozilla.org,4
91,Andriy-K,zamboni,6
15646,AndyUrbi,activate.mozilla.community,6
18674,AndyUrbi,blurts-server,5
11899,AndyUrbi,donate.mozilla.org,3
4845,AndyWendt,nunjucks,1
6975,AngelFQC,MozStumbler,1
15668,AngelFQC,activate.mozilla.community,2
18629,AnikaEU,blurts-server,31
8957,AnneTheAgile,ambient-boxen,3
15293,Anon-Artist,DeepSpeech,1
9542,AnticiscoFreeman,advocacy.mozilla.org,1
16157,AntoineAugusti,redash,6
12177,AntoineRondelet,sops,1
16773,Anubhav-Bhargava,network-pulse-api,1
10918,Anubhavshakya,srihash.org,1
19466,Aquaj,bug-handling,1
4480,Aqualon,releases-comm-central,9
4490,ArcTanSusan,airmozilla,9
