,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ft_uname,ft_rname,ft_commit_date,author_association,merged_status,pull_title,pull_msg,pullauthordate,pullid,ft_total_changes,ft_addns,ft_delns,commitauthordate,commitid,pullcommitsha,pullcommitmsg,repodesc,repolang
6484,1371,1371,1371,jgmize,fxoss,2014-05-20T05:15:01Z,CONTRIBUTOR,True,Upgrade to Django 1.6.5 to fix bug 1012898,,2014-05-20T05:16:12Z,https://api.github.com/repos/mozilla/fxoss/pulls/120,2.0,1.0,1.0,2014-05-20T05:15:01Z,a0a8d88d106f22bed27dc526b5817deceac326e9,a0a8d88d106f22bed27dc526b5817deceac326e9,Upgrade to Django 1.6.5 to fix bug 1012898,The code for mobilepartners.mozilla.org,JavaScript
6507,11230,16985,11230,jgraham,ateam-bootcamp,2015-01-12T19:36:31Z,MEMBER,True,Remove the link to pocoo.org,"This doesn't seem to accurately reflect changes to PEP8 that we should actually enforce.
",2015-01-12T19:36:37Z,https://api.github.com/repos/mozilla/ateam-bootcamp/pulls/3,3.0,0.0,3.0,2015-01-12T19:36:31Z,93b37471b609da0ea73d79d19e9f31296f7e6353,93b37471b609da0ea73d79d19e9f31296f7e6353,"Remove the link to pocoo.org

This doesn't seem to accurately reflect changes to PEP8 that we should actually enforce.",A-team bootcamp,Python
6508,7621,13376,7621,jgraham,geckodriver,2015-12-10T00:55:35Z,MEMBER,True,Update for the latest version of the marionette wire protocol.,,2015-12-10T00:56:32Z,https://api.github.com/repos/mozilla/geckodriver/pulls/28,569.0,344.0,225.0,2015-12-10T00:55:35Z,7d3b9239be39b3c9d035752b7c073eac2db5786c,7d3b9239be39b3c9d035752b7c073eac2db5786c,Update for the latest version of the marionette wire protocol.,WebDriver for Firefox,
6509,7622,13377,7622,jgraham,geckodriver,2015-12-10T10:54:22Z,MEMBER,True,Update for the latest version of the marionette wire protocol.,,2015-12-10T00:56:32Z,https://api.github.com/repos/mozilla/geckodriver/pulls/28,2.0,1.0,1.0,2015-12-10T10:54:22Z,0b8cdaea1f793e759eb71164d25860373391eb7a,0b8cdaea1f793e759eb71164d25860373391eb7a,Update to latest webdriver,WebDriver for Firefox,
6510,7611,13366,7611,jgraham,geckodriver,2016-05-25T09:19:24Z,MEMBER,True,Allow specifying arguments to the firefox binary through the firefox_args capability,"This must be an array of strings that will be interpreted as arguments to Firefox

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""35"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/geckodriver/65)

<!-- Reviewable:end -->
",2016-05-25T09:58:15Z,https://api.github.com/repos/mozilla/geckodriver/pulls/65,32.0,27.0,5.0,2016-05-25T09:19:24Z,da722759870dde7a71b9cd2606786d1c2f342729,da722759870dde7a71b9cd2606786d1c2f342729,"Allow specifying arguments to the firefox binary through the firefox_args capability.

This must be an array of strings that will be interpreted as arguments to Firefox",WebDriver for Firefox,
6511,7609,13364,7609,jgraham,geckodriver,2016-05-31T16:30:38Z,MEMBER,True,Pass parameters with new session command,"<!-- Reviewable:start -->

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""35"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/geckodriver/67)

<!-- Reviewable:end -->
",2016-05-31T16:42:17Z,https://api.github.com/repos/mozilla/geckodriver/pulls/67,5.0,3.0,2.0,2016-05-31T16:30:38Z,311b74e9cd4f6956c1c7e75aa8d019279cc36e49,311b74e9cd4f6956c1c7e75aa8d019279cc36e49,Pass parameters with new session command,WebDriver for Firefox,
6512,7610,13365,7610,jgraham,geckodriver,2016-06-01T21:52:00Z,MEMBER,True,Pass parameters with new session command,"<!-- Reviewable:start -->

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""35"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/geckodriver/67)

<!-- Reviewable:end -->
",2016-05-31T16:42:17Z,https://api.github.com/repos/mozilla/geckodriver/pulls/67,2.0,1.0,1.0,2016-06-01T21:52:00Z,178ac461c0fe1ebaa6ba0087b14f0295a0346dd6,178ac461c0fe1ebaa6ba0087b14f0295a0346dd6,Require newer webdriver,WebDriver for Firefox,
6513,7608,13363,7608,jgraham,geckodriver,2016-06-03T15:05:25Z,MEMBER,True, Fix issue creating directories in firefox profiles.,"<!-- Reviewable:start -->

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""35"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/geckodriver/69)

<!-- Reviewable:end -->
",2016-06-03T15:10:10Z,https://api.github.com/repos/mozilla/geckodriver/pulls/69,35.0,26.0,9.0,2016-06-03T15:05:25Z,f914ee70ead51f58293e07d1bc2461b6002bf153,f914ee70ead51f58293e07d1bc2461b6002bf153,"Fix issue creating directories in firefox profiles.

When the firefox profile contained multiple directories, we failed to
correctly create the directories in the destination profile folder. This
fix assumes that any file with a name ending / in a zip archive is a
directory.",WebDriver for Firefox,
6514,7607,13362,7607,jgraham,geckodriver,2016-06-03T18:01:21Z,MEMBER,True,Send quitApplication command when deleting a session.,"r? @AutomatedTester

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""35"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/geckodriver/70)

<!-- Reviewable:end -->
",2016-06-03T18:02:13Z,https://api.github.com/repos/mozilla/geckodriver/pulls/70,6.0,5.0,1.0,2016-06-03T18:01:21Z,f454c0d2172d25abfc34cd88f56849ac71ebb0bd,f454c0d2172d25abfc34cd88f56849ac71ebb0bd,Send quitApplication command when deleting a session.,WebDriver for Firefox,
6515,7603,13358,7603,jgraham,geckodriver,2016-06-27T13:43:43Z,MEMBER,True,Replace argparse with clap for arguments parsing.,"This appears to be more popular in the Rust community and doesn't seem to
be much worse, so it's probably a safer choice going forward.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/geckodriver/145)

<!-- Reviewable:end -->
",2016-07-12T14:30:33Z,https://api.github.com/repos/mozilla/geckodriver/pulls/145,319.0,169.0,150.0,2016-06-27T13:43:43Z,9e05d53902a9b8a72912815f012c4608b10524f7,9e05d53902a9b8a72912815f012c4608b10524f7,"Replace argparse with clap for arguments parsing.

This appears to be more popular in the Rust community and doesn't seem to
be much worse, so it's probably a safer choice going forward.",WebDriver for Firefox,
